relative_path,size_bytes,modified_time_iso
Dashvaikalik Sutram by tatvaprabhavvijayji/dashvaikalik_sutram_022615_hr6.pdf,31236713,2025-09-28T17:58:38.000Z
Dashvaikalik Sutram/153_dashvaikalik_sutram_part_01_005763_hr6_ocred.pdf,42365328,2025-09-28T17:58:36.000Z
Dashvaikalik Sutram/154_dashvaikalik_sutram_part_02_005764_hr6_ocred.pdf,38634613,2025-09-28T17:58:36.000Z
Dashvaikalik Sutram/155_dashvaikalik_sutram_part_03_005765_hr6_ocred.pdf,34341199,2025-09-28T17:58:20.000Z
Dashvaikalik Sutram/156_dashvaikalik_sutram_part_04_005766_hr6_ocred.pdf,30999264,2025-09-28T17:58:20.000Z
Dharm Pariksha/167_dharm_pariksha_part_01_022180_hr6_ocred.pdf,45859389,2025-09-28T18:00:44.000Z
Dharm Pariksha/168_dharm_pariksha_part_02_022181_hr6_ocred.pdf,38161827,2025-09-28T18:00:44.000Z
Dharm Pariksha/169_DHARMA PARIKSHA PART-3.pdf,76131803,2025-09-28T18:01:10.000Z
Dharm Sangrahani Pravinbhai/175_B054557_DHARMA SANGRAHNI_PART-1.pdf,114366435,2025-09-28T17:55:20.000Z
Dharm Sangrahani Pravinbhai/176_B056090_dharm_sangrahani_part_02_shabdasha_vivechan_037112_hr6_ocred.pdf,39050236,2025-09-28T17:55:20.000Z
Dharm Sangrahani Pravinbhai/177_B056093_dharm_sangrahani_part_03_shabdasha_vivechan_037113_hr6_ocred.pdf,38771845,2025-09-28T17:55:20.000Z
Dharm Sangrahani/178_dharm_sangrahani_part_02_006034_hr6_ocred.pdf,71665212,2025-09-28T17:58:12.000Z
Dharm Sangrahani/179_dharm_sangrahani_part_01_006033_hr6_ocred.pdf,59042329,2025-09-28T17:58:12.000Z
Dharmbindu Prakaran/164_dharmbindu_prakaran_part_01_022099_hr6_ocred.pdf,23647730,2025-09-28T17:55:40.000Z
Dharmbindu Prakaran/165_dharmbindu_prakaran_part_02_022100_hr6_ocred.pdf,32353666,2025-09-28T17:58:16.000Z
Dharmbindu Prakaran/166_dharmbindu_prakaran_part_03_022101_hr6_ocred.pdf,22987664,2025-09-28T17:58:16.000Z
Dravya Gun Paryaya no Ras/160_dravyagun_paryay_no_ras_part_1_001096_hr_ocred.pdf,41822343,2025-09-28T17:58:44.000Z
Dravya Gun Paryaya no Ras/161_dravyagun_paryay_no_ras_part_2_001097_hr_ocred.pdf,42729353,2025-09-28T17:58:18.000Z
Dravya Gun Paryayno Ras - pravinbhai/162_dravya_gun_paryay_no_ras_part_02_022386_hr6_ocred.pdf,39405933,2025-09-28T17:58:50.000Z
Dravya Gun Paryayno Ras - pravinbhai/dravya_gun_paryay_no_ras_part_01_022385_hr6.pdf,39308476,2025-09-28T17:58:20.000Z
Dwatrinshika/339_dan_dwatrinshika_004661_hr.pdf,15890398,2025-09-28T17:56:04.000Z
Dwatrinshika/340_deshna_dwatrinshika_004662_hr.pdf,13353207,2025-09-28T17:55:36.000Z
Dwatrinshika/341_marg_dwatrinshika_004663_hr.pdf,12262254,2025-09-28T17:56:04.000Z
Dwatrinshika/342_jina_mahattva_dwatrinshika_004664_hr.pdf,19630967,2025-09-28T17:56:04.000Z
Dwatrinshika/343_jin_bhakti_dwatrinshika_004665_hr.pdf,17892833,2025-09-28T17:55:36.000Z
Dwatrinshika/344_sadhu_samagraya_dwatrinshika_004666_hr.pdf,16379910,2025-09-28T17:55:36.000Z
Dwatrinshika/345_DHARMAVYAVSTHA BATRISHI_7.pdf,17602050,2025-09-28T17:56:04.000Z
Dwatrinshika/346_VAD  Batrishi_8.pdf,24024062,2025-09-28T17:56:50.000Z
Dwatrinshika/347_KATHA BATRISHI_9.pdf,30375897,2025-09-28T17:56:04.000Z
Dwatrinshika/348_B026923_Yoga_lakshana_Dwatrinshika_004670_योगलक्षणद्वात्रिंशिका शब्दशः विवेचन बत्रीशी-10.pdf,7398775,2025-09-28T17:55:34.000Z
Dwatrinshika/349_patanjal_yog_lakshan_vichar_dwatrinshika_004671_hr.pdf,21488971,2025-09-28T17:56:04.000Z
Dwatrinshika/350_B032139_Purva_seva_Dwatrinshika_004672_पूर्वसेवाद्वात्रिंशिका शब्दशः विवेचन बत्रीशी-12.pdf,7301496,2025-09-28T17:55:36.000Z
Dwatrinshika/351_mukti_adwesha_pradhanya_dwatrinshika_004673_hr.pdf,11520566,2025-09-28T17:56:04.000Z
Dwatrinshika/352_apunarbandhaka_dwatrinshika_004674_hr.pdf,14700583,2025-09-28T17:55:36.000Z
Dwatrinshika/353_samyaga_drushti_dwatrinshika_004675_hr.pdf,17696892,2025-09-28T17:55:36.000Z
Dwatrinshika/354_ishanu_graha_vichar_dwatrinshika_004676_hr.pdf,16087723,2025-09-28T17:55:36.000Z
Dwatrinshika/355_daiv_purusha_kara_dwatrinshika_004677_hr.pdf,16514084,2025-09-28T17:55:34.000Z
Dwatrinshika/356_yoga_bheda_dwatrinshika_004678_hr.pdf,13288708,2025-09-28T17:55:34.000Z
Dwatrinshika/357_B025245_Yoga_Viveka_Dwatrinshika_004679_योगविवेकद्वात्रिंशिका शब्दशः विवेचन.pdf,8154594,2025-09-28T17:55:34.000Z
Dwatrinshika/358_YOGAVATAR BATRISHI-20.pdf,29856255,2025-09-28T17:55:34.000Z
Dwatrinshika/359_taradi_traya_dwatrinshika_004682_hr.pdf,12765733,2025-09-28T17:55:34.000Z
Dwatrinshika/360_kutarka_graha_nivrutti_dwatrinshika_004683_hr.pdf,14611095,2025-09-28T17:55:34.000Z
Dwatrinshika/361_sad_drushti_dwatrinshika_004684_hr.pdf,14662009,2025-09-28T17:55:34.000Z
Dwatrinshika/362_klesh_hanopay_dwatrinshika_004685_hr.pdf,16784218,2025-09-28T17:55:34.000Z
Dwatrinshika/363_yog_mahatmya_dwatrinshika_004686_hr.pdf,15602747,2025-09-28T17:55:34.000Z
Dwatrinshika/364_B025250_Bhikshu_Dwatrinshika_004687_भिक्षुद्वात्रिंशिका शब्दशः विवेचन.pdf,7006869,2025-09-28T17:56:04.000Z
Dwatrinshika/365_diksha_dwatrinshika_004688_hr.pdf,13605902,2025-09-28T17:56:04.000Z
Dwatrinshika/366_vinay_dwatrnshika_004689_hr.pdf,9319412,2025-09-28T17:56:04.000Z
Dwatrinshika/367_kevali_bhukti_vyavasthapana_dwatrinshika_004680_hr.pdf,16981353,2025-09-28T17:55:36.000Z
Dwatrinshika/368_mukti_dwatrinshika_004691_hr.pdf,18404481,2025-09-28T17:55:36.000Z
Dwatrinshika/369_sajjana_stuti_dwatrinshika_004692_hr.pdf,8150096,2025-09-28T17:55:36.000Z
Dwatrinshika/mitra_dwatrinshika_004681_hr.pdf,4339277,2025-09-28T17:56:04.000Z
Gurutatva vinishchay/109_B045456_गुरुतत्त्वविनिश्चयः (उल्लास 3-4) भाग 2.pdf,157792136,2025-09-28T17:55:34.000Z
Gurutatva vinishchay/110_B045636_गुरुतत्त्वविनिश्चयः (उल्लास 1-2) भाग 1.pdf,225784218,2025-09-28T17:56:08.000Z
gyanbindu/121_B001245_gyanbindu_005269_hr.pdf,56730299,2025-09-28T17:55:40.000Z
